iter	Passed	Remaining
0	1	123
1	2	106
2	3	99
3	3	92
4	4	90
5	5	89
6	6	88
7	7	91
8	8	90
9	10	91
10	11	91
11	12	91
12	13	89
13	14	88
14	15	87
15	16	86
16	17	85
17	18	83
18	19	82
19	20	81
20	21	80
21	22	80
22	23	79
23	24	78
24	25	77
25	27	77
26	28	76
27	29	74
28	30	73
29	31	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	64
39	42	63
40	43	61
41	43	60
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	53	50
51	54	50
52	55	49
53	56	48
54	57	47
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	74	29
72	75	28
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
